name|interests:LString
User-947173|Topic-44,Topic-5,Topic-19
User-182612|Topic-23
User-937122|Topic-13,Topic-73,Topic-1
User-936558|Topic-1,Topic-39
User-309302|Topic-57,Topic-50
User-80630|Topic-61,Topic-33,Topic-64
User-629926|Topic-7
User-846588|Topic-75,Topic-71,Topic-2
User-163692|Topic-34,Topic-73
User-539956|Topic-39,Topic-67,Topic-51
User-759128|Topic-30,Topic-34,Topic-93
User-916664|Topic-55
User-620340|Topic-82
User-714205|Topic-50,Topic-90,Topic-3
User-409111|Topic-60,Topic-73
User-55164|Topic-22,Topic-34
User-578766|Topic-100
User-530370|Topic-8,Topic-28,Topic-77
User-329192|Topic-41,Topic-33,Topic-43
User-318577|Topic-25,Topic-85
User-69720|Topic-71,Topic-83,Topic-15
User-386826|Topic-97,Topic-25,Topic-68
User-137252|Topic-3,Topic-81
User-763534|Topic-16
User-126637|Topic-48,Topic-65
User-296856|Topic-77,Topic-88,Topic-39
User-171993|Topic-61,Topic-73,Topic-65
User-673564|Topic-54,Topic-31,Topic-29
User-929013|Topic-9,Topic-42,Topic-56
User-391165|Topic-43
User-368470|Topic-57,Topic-77
User-994752|Topic-41
User-24655|Topic-71,Topic-35,Topic-41
User-587078|Topic-74,Topic-26,Topic-93
User-619871|Topic-13
User-839043|Topic-6
User-838479|Topic-58
User-734563|Topic-92,Topic-98,Topic-74
User-61906|Topic-71,Topic-100
User-130002|Topic-57,Topic-86,Topic-7
User-918419|Topic-30,Topic-83
User-106743|Topic-52,Topic-41,Topic-77
User-450626|Topic-61
User-427931|Topic-83,Topic-46,Topic-95
User-647103|Topic-8,Topic-93,Topic-65
User-691895|Topic-8,Topic-86,Topic-13
User-888372|Topic-52,Topic-72
User-43550|Topic-39
User-360656|Topic-46
User-42986|Topic-58,Topic-34,Topic-82
User-145553|Topic-82,Topic-75,Topic-17
User-47055|Topic-77,Topic-48,Topic-3
User-771835|Topic-62
User-144989|Topic-89,Topic-82
User-991007|Topic-25
User-522261|Topic-71,Topic-11,Topic-42
User-512210|Topic-92,Topic-63,Topic-33
User-511646|Topic-79,Topic-86
User-681865|Topic-54
User-206552|Topic-68,Topic-15,Topic-61
User-595379|Topic-48,Topic-7
User-972087|Topic-21,Topic-33
User-949392|Topic-74,Topic-77
User-421676|Topic-12,Topic-26,Topic-22
User-594405|Topic-15
User-289311|Topic-7,Topic-95
User-18084|Topic-56,Topic-15,Topic-76
User-661950|Topic-81
User-288747|Topic-47
User-665455|Topic-99,Topic-45,Topic-9
User-17110|Topic-16,Topic-92
User-16546|Topic-76
User-334216|Topic-5,Topic-90,Topic-36
User-655404|Topic-90,Topic-100
User-198777|Topic-50,Topic-44,Topic-96
User-812940|Topic-28
User-575485|Topic-86,Topic-79
User-293086|Topic-50,Topic-34
User-896673|Topic-52
User-700309|Topic-17,Topic-30
User-259776|Topic-29,Topic-97
User-941578|Topic-88,Topic-65,Topic-45
User-636484|Topic-38
User-635510|Topic-58
User-353111|Topic-40
User-329852|Topic-52,Topic-37
User-810169|Topic-15
User-980388|Topic-59,Topic-32,Topic-93
User-9284|Topic-45
User-60163|Topic-10
User-720199|Topic-62,Topic-48
User-162166|Topic-10,Topic-91,Topic-93
User-779678|Topic-44,Topic-76,Topic-10
User-24847|Topic-83
User-424182|Topic-51,Topic-3
User-859618|Topic-41,Topic-64
User-413567|Topic-48
User-915138|Topic-92
User-108473|Topic-48,Topic-16,Topic-85
User-734755|Topic-13,Topic-69,Topic-93
User-770092|Topic-88
User-392410|Topic-6
User-463460|Topic-30,Topic-25
User-181061|Topic-16
User-839724|Topic-93,Topic-13,Topic-74
User-862419|Topic-10
User-557325|Topic-62,Topic-39,Topic-63
User-452845|Topic-49,Topic-9,Topic-2
User-714861|Topic-86
User-260437|Topic-57
User-877949|Topic-39,Topic-93
User-798594|Topic-12,Topic-50,Topic-14
User-708315|Topic-44,Topic-17
User-170467|Topic-97
User-242081|Topic-33
User-949584|Topic-57,Topic-23
User-618345|Topic-49,Topic-14,Topic-32
User-938969|Topic-40,Topic-67
User-144006|Topic-17,Topic-3
User-301542|Topic-13,Topic-17,Topic-43
User-803113|Topic-39,Topic-79
User-471761|Topic-81,Topic-18
User-690369|Topic-92
User-42024|Topic-42,Topic-84,Topic-41
User-385275|Topic-16
User-680318|Topic-96
User-211572|Topic-2
User-532760|Topic-82,Topic-23,Topic-39
User-125086|Topic-11
User-124112|Topic-64,Topic-23,Topic-7
User-445300|Topic-84,Topic-31,Topic-82
User-991663|Topic-77,Topic-45
User-660424|Topic-42,Topic-94,Topic-50
User-60355|Topic-9
User-355330|Topic-48,Topic-38
User-37660|Topic-4,Topic-54,Topic-78
User-354766|Topic-17,Topic-31,Topic-77
User-981612|Topic-22,Topic-51
User-675954|Topic-31,Topic-60
User-895126|Topic-88
User-426380|Topic-69,Topic-42,Topic-37
User-152307|Topic-93
User-9944|Topic-14
User-811414|Topic-64
User-506320|Topic-74
User-675975|Topic-13,Topic-77,Topic-98
User-393576|Topic-8,Topic-36
User-895147|Topic-86,Topic-40,Topic-16
User-589489|Topic-45
User-962692|Topic-42,Topic-49
User-770284|Topic-36
User-465190|Topic-86,Topic-70,Topic-24
User-966197|Topic-67,Topic-86,Topic-17
User-415786|Topic-84,Topic-33,Topic-61
User-133387|Topic-6,Topic-37
User-510095|Topic-74
User-132413|Topic-73,Topic-6
User-131849|Topic-83,Topic-72
User-453601|Topic-10,Topic-18,Topic-76
User-328326|Topic-92,Topic-31
User-954608|Topic-20,Topic-67,Topic-22
User-672209|Topic-20,Topic-94
User-147943|Topic-87
User-649514|Topic-2,Topic-64,Topic-45
User-367115|Topic-55
User-203463|Topic-38,Topic-82,Topic-19
User-373682|Topic-63
User-3689|Topic-88
User-694870|Topic-49,Topic-11,Topic-33
User-183280|Topic-66,Topic-61,Topic-43
User-750390|Topic-81,Topic-89
User-287196|Topic-1,Topic-8
User-45961|Topic-97,Topic-91
User-582239|Topic-56,Topic-15
User-367136|Topic-58
User-113493|Topic-52,Topic-22,Topic-11
User-434681|Topic-40,Topic-92
User-935688|Topic-5,Topic-13
User-653289|Topic-56,Topic-87,Topic-45
User-438186|Topic-1,Topic-99
User-275607|Topic-84,Topic-77
User-629620|Topic-77,Topic-59,Topic-20
User-733229|Topic-98,Topic-35,Topic-7
User-973503|Topic-96,Topic-85
User-974498|Topic-39,Topic-53,Topic-22
User-800795|Topic-11,Topic-69
User-883533|Topic-50,Topic-17,Topic-5
User-803305|Topic-47,Topic-51
User-668430|Topic-9
User-577875|Topic-38,Topic-81,Topic-57
User-19521|Topic-14
User-797047|Topic-54,Topic-26
User-18957|Topic-9,Topic-14,Topic-4
User-336627|Topic-51,Topic-47
User-962909|Topic-13,Topic-62,Topic-52
User-713335|Topic-68,Topic-69
User-408241|Topic-46
User-407677|Topic-89,Topic-82
User-577896|Topic-8
User-797068|Topic-10,Topic-100
User-93083|Topic-70,Topic-64
User-23296|Topic-48,Topic-4
User-943989|Topic-85
User-638895|Topic-79
User-858067|Topic-24,Topic-5
User-637921|Topic-48,Topic-36,Topic-18
User-480265|Topic-47,Topic-27,Topic-68
User-355522|Topic-34
User-856529|Topic-91
User-470214|Topic-18
User-165120|Topic-73,Topic-27
User-269036|Topic-68
User-708971|Topic-15,Topic-16,Topic-100}
User-390295|Topic-41
User-300016|Topic-98
User-62574|Topic-71,Topic-34
User-917528|Topic-55,Topic-94
User-269057|Topic-71,Topic-95,Topic-22
User-838173|Topic-77,Topic-71
User-61600|Topic-32,Topic-73
User-451294|Topic-39,Topic-10,Topic-17
User-236191|Topic-57
User-415978|Topic-85
User-394800|Topic-61,Topic-47
User-498716|Topic-51,Topic-68,Topic-22
User-450320|Topic-27
User-956338|Topic-82,Topic-9
User-109910|Topic-21
User-224602|Topic-7
User-328518|Topic-92,Topic-46
User-42680|Topic-91,Topic-34
User-601310|Topic-40,Topic-84
User-866368|Topic-46,Topic-37
User-680974|Topic-25,Topic-4
User-375880|Topic-59,Topic-70,Topic-23
User-183472|Topic-82
User-36134|Topic-95,Topic-48,Topic-67
User-559736|Topic-77
User-511340|Topic-73,Topic-30
User-510776|Topic-1,Topic-7,Topic-71
User-674428|Topic-15
User-81490|Topic-71
User-936444|Topic-16,Topic-97
User-205682|Topic-56,Topic-75,Topic-31
User-831964|Topic-65,Topic-88
User-70875|Topic-100,Topic-28
User-925829|Topic-52
User-118222|Topic-72,Topic-12,Topic-92
User-744504|Topic-82,Topic-22,Topic-100}
User-152963|Topic-31,Topic-35,Topic-57
User-54465|Topic-97,Topic-95,Topic-59
User-372135|Topic-68,Topic-19,Topic-78
User-348876|Topic-63,Topic-13,Topic-10
User-975722|Topic-22
User-146417|Topic-100,Topic-80,Topic-60}
User-303953|Topic-85
User-523125|Topic-52,Topic-34
User-693344|Topic-14,Topic-4,Topic-100
User-387686|Topic-77,Topic-18
User-850880|Topic-36,Topic-70,Topic-45
User-408901|Topic-31
User-764394|Topic-30
User-296721|Topic-67
User-213983|Topic-43,Topic-93,Topic-17
User-433155|Topic-47
User-8393|Topic-57,Topic-59,Topic-74
User-127497|Topic-79,Topic-13
User-24520|Topic-76,Topic-22
User-126523|Topic-65,Topic-79,Topic-22
User-752805|Topic-95
User-28025|Topic-18,Topic-71
User-125959|Topic-52,Topic-34,Topic-85
User-447711|Topic-86,Topic-53
User-503231|Topic-91
User-115908|Topic-17,Topic-63
User-688980|Topic-21,Topic-70
User-662835|Topic-93,Topic-42
User-63330|Topic-31,Topic-88,Topic-43
User-380436|Topic-40,Topic-43,Topic-85
User-357741|Topic-17,Topic-54
User-813804|Topic-41,Topic-12
User-576349|Topic-6
User-897537|Topic-9
User-733885|Topic-10
User-953057|Topic-24,Topic-35,Topic-74
User-428791|Topic-57,Topic-85
User-210238|Topic-80,Topic-36,Topic-71
User-269717|Topic-95,Topic-4
User-723834|Topic-90,Topic-62,Topic-93
User-727339|Topic-48,Topic-57
User-877643|Topic-85
User-134824|Topic-80,Topic-48
User-36326|Topic-54
User-511532|Topic-38
User-369526|Topic-14
User-425046|Topic-79,Topic-99,Topic-14
User-321130|Topic-91,Topic-32,Topic-50
User-490785|Topic-51,Topic-76,Topic-39
User-500917|Topic-24,Topic-91,Topic-95
User-335076|Topic-72
User-961358|Topic-33,Topic-6
User-938663|Topic-71,Topic-80
User-656264|Topic-15,Topic-20
User-75604|Topic-5,Topic-68
User-550810|Topic-10,Topic-40
User-701169|Topic-52,Topic-9,Topic-40
User-654726|Topic-20
User-349632|Topic-88,Topic-65
User-300672|Topic-41,Topic-78
User-726340|Topic-10,Topic-78
User-715725|Topic-12
User-885944|Topic-38,Topic-83
User-799458|Topic-54,Topic-48,Topic-100}
User-531890|Topic-42,Topic-36
User-956994|Topic-50,Topic-58,Topic-46
User-625755|Topic-62
User-388910|Topic-92,Topic-32,Topic-3
User-444430|Topic-4,Topic-33,Topic-47
User-858919|Topic-56,Topic-74
User-241407|Topic-47
User-36790|Topic-24
User-483240|Topic-71
User-392685|Topic-35,Topic-96
User-152001|Topic-43,Topic-31
User-151437|Topic-7,Topic-22,Topic-78
User-577105|Topic-8
User-768949|Topic-16
User-472625|Topic-80,Topic-83
User-223051|Topic-6,Topic-88
User-393270|Topic-6,Topic-34
User-212436|Topic-30,Topic-13,Topic-8
User-919939|Topic-68,Topic-63,Topic-74
User-64985|Topic-32,Topic-41,Topic-50
User-542701|Topic-98
User-558185|Topic-82
User-829969|Topic-42
User-452731|Topic-78,Topic-87
User-170332|Topic-1,Topic-17,Topic-71
User-366245|Topic-82,Topic-39,Topic-83
User-523781|Topic-58,Topic-92
User-513730|Topic-6,Topic-63,Topic-65
User-597463|Topic-73,Topic-35
User-974171|Topic-41,Topic-19,Topic-53
User-231352|Topic-95,Topic-48,Topic-97
User-595925|Topic-72,Topic-86,Topic-26
User-230788|Topic-49,Topic-22,Topic-38
User-427265|Topic-98,Topic-67
User-771148|Topic-10,Topic-71,Topic-72
User-18630|Topic-59
User-143328|Topic-72
User-656924|Topic-86
User-681178|Topic-84,Topic-81,Topic-69
User-385161|Topic-31,Topic-69,Topic-53
User-57440|Topic-6,Topic-58,Topic-74
User-375110|Topic-98,Topic-12,Topic-32
User-210894|Topic-25
User-374546|Topic-17
User-695734|Topic-71,Topic-1,Topic-16
User-751254|Topic-64,Topic-19
User-446160|Topic-71,Topic-14
User-727995|Topic-48,Topic-23,Topic-6
User-947167|Topic-17
User-114357|Topic-34,Topic-74
User-740639|Topic-75
User-356190|Topic-22
User-982472|Topic-38,Topic-16,Topic-40
User-128913|Topic-21,Topic-9,Topic-43
User-354652|Topic-20,Topic-16
User-980934|Topic-31
User-505621|Topic-18,Topic-80,Topic-7
User-675840|Topic-45,Topic-96,Topic-59
User-812274|Topic-57
User-895012|Topic-48,Topic-92,Topic-18
User-26931|Topic-62,Topic-41
User-589354|Topic-27
User-9830|Topic-42,Topic-28,Topic-15
User-563209|Topic-61
User-746890|Topic-17,Topic-36,Topic-40
User-720745|Topic-1
User-415651|Topic-80,Topic-87,Topic-34
User-419156|Topic-18,Topic-82,Topic-24
User-499384|Topic-50,Topic-14,Topic-25
User-382847|Topic-96,Topic-45
User-409105|Topic-98
User-736860|Topic-51
User-329186|Topic-81,Topic-68,Topic-8
User-956032|Topic-89,Topic-77,Topic-14
User-955468|Topic-68,Topic-93
User-673069|Topic-34
User-190907|Topic-1,Topic-32,Topic-65
User-7059|Topic-61
User-367001|Topic-11,Topic-6
User-865498|Topic-84
User-583099|Topic-34
User-172551|Topic-14,Topic-38
User-276467|Topic-92
User-171987|Topic-1
User-74053|Topic-83
User-597655|Topic-74,Topic-68
User-391159|Topic-85
User-348081|Topic-81
User-924959|Topic-99,Topic-26
User-733115|Topic-45,Topic-58,Topic-90
User-428021|Topic-6,Topic-54,Topic-53
User-619865|Topic-94,Topic-29
User-800660|Topic-96
User-337487|Topic-72,Topic-39,Topic-29
User-963769|Topic-54,Topic-27,Topic-12
User-714195|Topic-8,Topic-41,Topic-43
User-692453|Topic-27,Topic-81
User-43544|Topic-25,Topic-68
User-876309|Topic-84,Topic-40
User-217161|Topic-69
User-82354|Topic-24,Topic-90,Topic-6
User-937308|Topic-30,Topic-64
User-753473|Topic-23
User-857389|Topic-46
User-471074|Topic-33,Topic-63,Topic-4
User-80816|Topic-21,Topic-89
User-847338|Topic-2,Topic-1
User-470100|Topic-40,Topic-11,Topic-5
User-164442|Topic-13,Topic-26
User-918388|Topic-1
User-790724|Topic-14,Topic-68
User-987201|Topic-81
User-541150|Topic-40,Topic-91,Topic-100}
User-153827|Topic-85,Topic-70
User-917414|Topic-20
User-62460|Topic-55,Topic-74
User-61896|Topic-22,Topic-72
User-812934|Topic-53
User-530535|Topic-79,Topic-73,Topic-55
User-77990|Topic-57,Topic-49,Topic-7
User-395660|Topic-51,Topic-13
User-451180|Topic-67
User-51845|Topic-91,Topic-45,Topic-56
User-153848|Topic-24,Topic-34,Topic-59
User-531120|Topic-56
User-440565|Topic-78
User-225462|Topic-44,Topic-56
User-602170|Topic-19
User-319327|Topic-87,Topic-94,Topic-77
User-945609|Topic-86,Topic-82,Topic-48
User-133933|Topic-98,Topic-39,Topic-89
User-675288|Topic-82,Topic-28,Topic-10
User-297606|Topic-44,Topic-73
User-289280|Topic-80,Topic-36
User-9278|Topic-54,Topic-56,Topic-37
User-674314|Topic-52
User-583759|Topic-92,Topic-73
User-369220|Topic-26
User-25405|Topic-44
User-368656|Topic-21
User-995502|Topic-22
User-961031|Topic-94
User-994938|Topic-91,Topic-81,Topic-34
User-119082|Topic-56,Topic-41
User-745364|Topic-68,Topic-65
User-735313|Topic-93,Topic-50
User-839229|Topic-94
User-108467|Topic-18
User-278686|Topic-77
User-655394|Topic-50,Topic-30
User-976582|Topic-21,Topic-10
User-598900|Topic-86,Topic-78,Topic-43
User-669950|Topic-59,Topic-16
User-44300|Topic-95,Topic-79,Topic-63
User-716393|Topic-57,Topic-31,Topic-42
User-643805|Topic-35
User-889122|Topic-14
User-43736|Topic-76,Topic-40,Topic-36
User-361406|Topic-35,Topic-32
User-146303|Topic-95,Topic-1,Topic-36
User-714855|Topic-21
User-433020|Topic-84,Topic-6
User-878507|Topic-48
User-409761|Topic-70
User-579980|Topic-15,Topic-8,Topic-66
User-297581|Topic-72,Topic-67,Topic-76
User-798588|Topic-28
User-207302|Topic-15,Topic-62
User-708309|Topic-61,Topic-14,Topic-91
User-376957|Topic-58
User-25380|Topic-62,Topic-47
User-342486|Topic-4,Topic-8
User-596129|Topic-88,Topic-61
User-127383|Topic-1,Topic-98
User-753665|Topic-73,Topic-39,Topic-64
User-448571|Topic-35,Topic-93
User-504091|Topic-34
